Order_ID,Date,Store_ID,Qty,Product_ID
3,2013-01-01,1,0,3
5,2013-01-01,1,0,5
7,2013-01-01,1,0,7
8,2013-01-01,1,0,8
10,2013-01-01,1,0,10
11,2013-01-01,1,0,11
12,2013-01-01,1,0,12
15,2013-01-01,1,0,15
16,2013-01-01,1,0,16
20,2013-01-01,1,0,20
22,2013-01-01,1,0,22
24,2013-01-01,1,0,24
27,2013-01-01,1,0,27
29,2013-01-01,1,0,29
32,2013-01-01,1,0,32
36,2013-01-01,10,0,3
38,2013-01-01,10,0,5
40,2013-01-01,10,0,7
41,2013-01-01,10,0,8
43,2013-01-01,10,0,10
44,2013-01-01,10,0,11
45,2013-01-01,10,0,12
48,2013-01-01,10,0,15
49,2013-01-01,10,0,16
53,2013-01-01,10,0,20
55,2013-01-01,10,0,22
57,2013-01-01,10,0,24
60,2013-01-01,10,0,27
62,2013-01-01,10,0,29
65,2013-01-01,10,0,32
69,2013-01-01,11,0,3
71,2013-01-01,11,0,5
73,2013-01-01,11,0,7
74,2013-01-01,11,0,8
76,2013-01-01,11,0,10
77,2013-01-01,11,0,11
78,2013-01-01,11,0,12
81,2013-01-01,11,0,15
82,2013-01-01,11,0,16
86,2013-01-01,11,0,20
88,2013-01-01,11,0,22
90,2013-01-01,11,0,24
93,2013-01-01,11,0,27
95,2013-01-01,11,0,29
98,2013-01-01,11,0,32
102,2013-01-01,12,0,3
104,2013-01-01,12,0,5
106,2013-01-01,12,0,7
107,2013-01-01,12,0,8
109,2013-01-01,12,0,10
110,2013-01-01,12,0,11
111,2013-01-01,12,0,12
114,2013-01-01,12,0,15
115,2013-01-01,12,0,16
119,2013-01-01,12,0,20
121,2013-01-01,12,0,22
123,2013-01-01,12,0,24
126,2013-01-01,12,0,27
128,2013-01-01,12,0,29
131,2013-01-01,12,0,32
135,2013-01-01,13,0,3
137,2013-01-01,13,0,5
139,2013-01-01,13,0,7
140,2013-01-01,13,0,8
142,2013-01-01,13,0,10
143,2013-01-01,13,0,11
144,2013-01-01,13,0,12
147,2013-01-01,13,0,15
148,2013-01-01,13,0,16
152,2013-01-01,13,0,20
154,2013-01-01,13,0,22
156,2013-01-01,13,0,24
159,2013-01-01,13,0,27
161,2013-01-01,13,0,29
164,2013-01-01,13,0,32
168,2013-01-01,14,0,3
170,2013-01-01,14,0,5
172,2013-01-01,14,0,7
173,2013-01-01,14,0,8
